ville,province,longitude,latitude,periode,saison,debut,fin,ndwi_moyen,ndvi_moyen
Banwa,Boucle Du Mouhoun,,,2020-S1,seche,2020-01-01,2020-06-30,-0.35133305889532646,0.20939845525787473
Kossi,Boucle Du Mouhoun,-3.822956261825886,12.812686525228674,2020-S1,seche,2020-01-01,2020-06-30,-0.3374991146575062,0.18284326118259428
Bale,Boucle Du Mouhoun,-3.1562002940694236,11.724962044865523,2020-S1,seche,2020-01-01,2020-06-30,-0.3574231572969619,0.22497871273360107
Mouhoun,Boucle Du Mouhoun,-3.465560822558568,12.148429141055294,2020-S1,seche,2020-01-01,2020-06-30,-0.34698069732282283,0.21121713501601064
Nayala,Boucle Du Mouhoun,-3.0944590634145883,12.657096114822512,2020-S1,seche,2020-01-01,2020-06-30,-0.3372233429009921,0.19086198156278186
Sourou,Boucle Du Mouhoun,-3.0425338311313457,13.20277689536505,2020-S1,seche,2020-01-01,2020-06-30,-0.328587904380724,0.17604324502929306
Comoe,Cascades,-4.514135440850249,10.486252031591674,2020-S1,seche,2020-01-01,2020-06-30,-0.42183549174182455,0.31500341509514396
Leraba,Cascades,-5.16214118260538,10.59270126662498,2020-S1,seche,2020-01-01,2020-06-30,-0.42659448343723705,0.3122210439409708
Kadiogo,Centre,-1.4189075947220224,12.312731953406667,2020-S1,seche,2020-01-01,2020-06-30,-0.3265048113948433,0.16144075417231116
Boulgou,Centre-est,-0.45761713244389585,11.503793323148528,2020-S1,seche,2020-01-01,2020-06-30,-0.32293233554129985,0.17655113819960438
Koulpelogo,Centre-est,0.15035667022296972,11.463301970345205,2020-S1,seche,2020-01-01,2020-06-30,-0.33851394082565467,0.18536825307637456
Kouritenga,Centre-est,-0.329596707027452,12.276621177276377,2020-S1,seche,2020-01-01,2020-06-30,-0.3207204623321992,0.16502902372686284
Bam,Centre-nord,-1.6136483749809556,13.351495353793153,2020-S1,seche,2020-01-01,2020-06-30,-0.3250809138037936,0.1404937656671322
Namentenga,Centre-nord,-0.49062813376172576,13.108749399980104,2020-S1,seche,2020-01-01,2020-06-30,-0.3037716433765531,0.1408629865042738
Sanmatenga,Centre-nord,-1.0261364414418561,13.177157572778016,2020-S1,seche,2020-01-01,2020-06-30,-0.3133842921228624,0.14302377480783254
Boulkiemde,Centre-ouest,-2.116690600453765,12.33281653730948,2020-S1,seche,2020-01-01,2020-06-30,-0.32411643393147305,0.17145500071261227
Sanguie,Centre-ouest,-2.635215140603591,12.172899114173353,2020-S1,seche,2020-01-01,2020-06-30,-0.335926297957103,0.19513967710721178
Sissili,Centre-ouest,,,2020-S1,seche,2020-01-01,2020-06-30,-0.36820828846698545,0.23744386258557
Ziro,Centre-ouest,-1.789604030127707,11.649300172172008,2020-S1,seche,2020-01-01,2020-06-30,-0.3582019404944704,0.21888915227881925
Bazega,Centre-sud,-1.3940711729379671,11.929600821086295,2020-S1,seche,2020-01-01,2020-06-30,-0.34220280483824617,0.18866660237628932
Nahouri,Centre-sud,-1.118376246474603,11.237983342109658,2020-S1,seche,2020-01-01,2020-06-30,-0.3554001609932456,0.2238166327137076
Zoundweogo,Centre-sud,-0.9524086225312375,11.512264459231611,2020-S1,seche,2020-01-01,2020-06-30,-0.32772128879399154,0.18379869382047043
Gnagna,Est,0.0026416748949775752,12.824833131507228,2020-S1,seche,2020-01-01,2020-06-30,-0.311727639261281,0.14621041644065427
Gourma,Est,0.7255385800830758,12.08832466971129,2020-S1,seche,2020-01-01,2020-06-30,-0.3209366716455177,0.17611511257048884
Komonjdjari,Est,0.7608477539361953,12.809542881354007,2020-S1,seche,2020-01-01,2020-06-30,-0.32151156573095324,0.16540989187702906
Kompienga,Est,0.9531615582011995,11.510423496811697,2020-S1,seche,2020-01-01,2020-06-30,-0.3026216117968437,0.18491999119322378
Tapoa,Est,1.5492337787755717,11.96131520670831,2020-S1,seche,2020-01-01,2020-06-30,-0.3289349394096776,0.19250610562412843
Houet,Hauts-bassins,-4.221145170181834,11.202386321354012,2020-S1,seche,2020-01-01,2020-06-30,-0.38920512201825247,0.2596136345028579
Kenedougou,Hauts-bassins,-4.965576301319494,11.296531382937543,2020-S1,seche,2020-01-01,2020-06-30,-0.3986645928861791,0.2790841877132597
Tuy,Hauts-bassins,-3.4868081489839233,11.445565134928092,2020-S1,seche,2020-01-01,2020-06-30,-0.3692586053719329,0.2387613250778975
Loroum,Nord,,,2020-S1,seche,2020-01-01,2020-06-30,-0.3253753343188068,0.13754716253387939
Passore,Nord,-2.036090048762283,12.936109131116737,2020-S1,seche,2020-01-01,2020-06-30,-0.3376240712278661,0.17147798202180073
Yatenga,Nord,-2.165094455721045,13.419502213575823,2020-S1,seche,2020-01-01,2020-06-30,-0.32464057065800206,0.1428082023293417
Zondoma,Nord,-2.3286174410994804,13.233872775120712,2020-S1,seche,2020-01-01,2020-06-30,-0.34170483789629613,0.16725323517471727
Ganzourgou,Plateau Central,-0.7710693074914546,12.252526698630486,2020-S1,seche,2020-01-01,2020-06-30,-0.3174584835749074,0.16279671158862105
Kourweogo,Plateau Central,-1.8270570788510443,12.606700740090822,2020-S1,seche,2020-01-01,2020-06-30,-0.3325441564717276,0.1697418855339452
Oubritenga,Plateau Central,-1.2233872493372404,12.586743762609045,2020-S1,seche,2020-01-01,2020-06-30,-0.3137714804132197,0.1499845654752937
Oudalan,Sahel,-0.3802665417708192,14.517974872719556,2020-S1,seche,2020-01-01,2020-06-30,-0.3027715893291282,0.11830222774949362
Seno,Sahel,-0.09718325099593567,13.955369700855359,2020-S1,seche,2020-01-01,2020-06-30,-0.29509112102875706,0.12649848388742344
Soum,Sahel,-1.0646621306595794,14.203338215374734,2020-S1,seche,2020-01-01,2020-06-30,-0.3075323486617351,0.11941675434141469
Yagha,Sahel,,,2020-S1,seche,2020-01-01,2020-06-30,-0.3145893661851769,0.14037944022025547
Bougouriba,Sud-ouest,-3.428077245206912,10.918747017094596,2020-S1,seche,2020-01-01,2020-06-30,-0.40499881489387807,0.29284668537491415
Ioba,Sud-ouest,-3.1421447400791003,11.091737806560419,2020-S1,seche,2020-01-01,2020-06-30,-0.36104373223171676,0.23340015993805813
Noumbiel,Sud-ouest,-3.033268067271032,9.997999928839187,2020-S1,seche,2020-01-01,2020-06-30,-0.4141206828588599,0.3032483350629678
Poni,Sud-ouest,-3.3218811418647745,10.264138935730738,2020-S1,seche,2020-01-01,2020-06-30,-0.42194767793424753,0.3058909774624933
Banwa,Boucle Du Mouhoun,,,2020-S2,pluies,2020-07-01,2020-12-31,-0.485651773254647,0.38388262883753244
Kossi,Boucle Du Mouhoun,-3.822956261825886,12.812686525228674,2020-S2,pluies,2020-07-01,2020-12-31,-0.45942014902634426,0.33542988940533786
Bale,Boucle Du Mouhoun,-3.1562002940694236,11.724962044865523,2020-S2,pluies,2020-07-01,2020-12-31,-0.45949171219969975,0.3495201103495638
Mouhoun,Boucle Du Mouhoun,-3.465560822558568,12.148429141055294,2020-S2,pluies,2020-07-01,2020-12-31,-0.469962422161453,0.3662758112433645
Nayala,Boucle Du Mouhoun,-3.0944590634145883,12.657096114822512,2020-S2,pluies,2020-07-01,2020-12-31,-0.44557823835396926,0.31570850722896066
Sourou,Boucle Du Mouhoun,-3.0425338311313457,13.20277689536505,2020-S2,pluies,2020-07-01,2020-12-31,-0.4400263686463241,0.3069125003689786
Comoe,Cascades,-4.514135440850249,10.486252031591674,2020-S2,pluies,2020-07-01,2020-12-31,-0.527955916361185,0.4855427805403077
Leraba,Cascades,-5.16214118260538,10.59270126662498,2020-S2,pluies,2020-07-01,2020-12-31,-0.5336925770688807,0.46705140888511015
Kadiogo,Centre,-1.4189075947220224,12.312731953406667,2020-S2,pluies,2020-07-01,2020-12-31,-0.41381327997896467,0.2728270637934423
Boulgou,Centre-est,-0.45761713244389585,11.503793323148528,2020-S2,pluies,2020-07-01,2020-12-31,-0.4246458782208369,0.3157964166391217
Koulpelogo,Centre-est,0.15035667022296972,11.463301970345205,2020-S2,pluies,2020-07-01,2020-12-31,-0.4563789747562761,0.35263333308913913
Kouritenga,Centre-est,-0.329596707027452,12.276621177276377,2020-S2,pluies,2020-07-01,2020-12-31,-0.4125820067046221,0.30348358573169926
Bam,Centre-nord,-1.6136483749809556,13.351495353793153,2020-S2,pluies,2020-07-01,2020-12-31,-0.407214722381206,0.24502566810948642
Namentenga,Centre-nord,-0.49062813376172576,13.108749399980104,2020-S2,pluies,2020-07-01,2020-12-31,-0.3918540143435839,0.24855560161459989
Sanmatenga,Centre-nord,-1.0261364414418561,13.177157572778016,2020-S2,pluies,2020-07-01,2020-12-31,-0.41482255318632716,0.2703026553406084
Boulkiemde,Centre-ouest,-2.116690600453765,12.33281653730948,2020-S2,pluies,2020-07-01,2020-12-31,-0.4164840013339005,0.2671566680654747
Sanguie,Centre-ouest,-2.635215140603591,12.172899114173353,2020-S2,pluies,2020-07-01,2020-12-31,-0.4436627783998033,0.3085375874136014
Sissili,Centre-ouest,,,2020-S2,pluies,2020-07-01,2020-12-31,-0.46959043699656916,0.3557948523134795
Ziro,Centre-ouest,-1.789604030127707,11.649300172172008,2020-S2,pluies,2020-07-01,2020-12-31,-0.4732698142984898,0.36495730346116073
Bazega,Centre-sud,-1.3940711729379671,11.929600821086295,2020-S2,pluies,2020-07-01,2020-12-31,-0.4599541879393755,0.34992175212923704
Nahouri,Centre-sud,-1.118376246474603,11.237983342109658,2020-S2,pluies,2020-07-01,2020-12-31,-0.5013163892701432,0.4260317497290767
Zoundweogo,Centre-sud,-0.9524086225312375,11.512264459231611,2020-S2,pluies,2020-07-01,2020-12-31,-0.44536743087879604,0.3531425171681432
Gnagna,Est,0.0026416748949775752,12.824833131507228,2020-S2,pluies,2020-07-01,2020-12-31,-0.3940050975571731,0.2591165259616473
Gourma,Est,0.7255385800830758,12.08832466971129,2020-S2,pluies,2020-07-01,2020-12-31,-0.4531026541019745,0.36364042151034726
Komonjdjari,Est,0.7608477539361953,12.809542881354007,2020-S2,pluies,2020-07-01,2020-12-31,-0.4315930596176271,0.3214332762281696
Kompienga,Est,0.9531615582011995,11.510423496811697,2020-S2,pluies,2020-07-01,2020-12-31,-0.48489198290284435,0.40845042213614097
Tapoa,Est,1.5492337787755717,11.96131520670831,2020-S2,pluies,2020-07-01,2020-12-31,-0.4446133828326303,0.3310186791641964
Houet,Hauts-bassins,-4.221145170181834,11.202386321354012,2020-S2,pluies,2020-07-01,2020-12-31,-0.5094562727624328,0.4356840480187494
Kenedougou,Hauts-bassins,-4.965576301319494,11.296531382937543,2020-S2,pluies,2020-07-01,2020-12-31,-0.5451395622313681,0.49096561788615634
Tuy,Hauts-bassins,-3.4868081489839233,11.445565134928092,2020-S2,pluies,2020-07-01,2020-12-31,-0.4725228337314247,0.37275756614651695
Loroum,Nord,,,2020-S2,pluies,2020-07-01,2020-12-31,-0.3974357870549802,0.2260575897137396
Passore,Nord,-2.036090048762283,12.936109131116737,2020-S2,pluies,2020-07-01,2020-12-31,-0.43334599882982255,0.2808033167362094
Yatenga,Nord,-2.165094455721045,13.419502213575823,2020-S2,pluies,2020-07-01,2020-12-31,-0.399893292954194,0.2290025147536008
Zondoma,Nord,-2.3286174410994804,13.233872775120712,2020-S2,pluies,2020-07-01,2020-12-31,-0.43409091731630445,0.2803150640353237
Ganzourgou,Plateau Central,-0.7710693074914546,12.252526698630486,2020-S2,pluies,2020-07-01,2020-12-31,-0.41251304836840635,0.312436765473461
Kourweogo,Plateau Central,-1.8270570788510443,12.606700740090822,2020-S2,pluies,2020-07-01,2020-12-31,-0.42907224852173137,0.28210300124148346
Oubritenga,Plateau Central,-1.2233872493372404,12.586743762609045,2020-S2,pluies,2020-07-01,2020-12-31,-0.4102542385670484,0.2696857393885886
Oudalan,Sahel,-0.3802665417708192,14.517974872719556,2020-S2,pluies,2020-07-01,2020-12-31,-0.3534493014211906,0.16920053141590696
